Servicio AWS,Azure,GCP,Open Source,Quality,Notes_ES,Notes_EN
DynamoDBStream,Change Feed,Bigtable Streams,Kafka / Debezium,CLOSE,Captura de cambios (CDC). En Azure/GCP se integra en el servicio de DB; en OSS requiere Kafka. Diferencia en retención de eventos y garantías de ordenamiento.,Change data capture (CDC). In Azure/GCP it is typically integrated into the database service or stream platform (Cosmos/Spanner/Firestore + eventing).
EBS,Managed Disks,Persistent Disk,Longhorn / Rook,CLOSE,Almacenamiento de bloques persistente para VMs. Sin variaciones semánticas de uso; rendimiento facturado por reglas de tipo de volumen similares.,Persistent block storage for VMs. Similar usage semantics; performance/pricing differ by volume types and IOPS tiers.
EC2,Virtual Machines,Compute Engine,KVM / OpenStack,CLOSE,"VM/IaaS. Equivalencia cercana (instancias). Diferencias en tipos, red, discos y features (spot, placement, etc.).","VM/IaaS. Close equivalence (instances). Differences in instance families, networking, disks, and features (spot, placement, etc.)."
ECR,Container Registry,Artifact Registry,Harbor,CLOSE,"Registro de imágenes OCI. Equivalencia cercana; difieren features (scanning, IAM, replicación) según proveedor.","OCI container image registry. Close equivalent; differences in integrations, scanning, and retention policies."
ECS,Container Apps,Cloud Run,Nomad,CLOSE,Orquestación propietaria de contenedores. Patrón menos complejo que K8s pero con lock-in del plano de control. OSS: Nomad ofrece paridad operativa.,"Proprietary container orchestration. Pattern is simpler than Kubernetes; equivalents are managed container services (AKS/GKE, Container Apps/Cloud Run depending on scope)."
EFS,Azure Files,Cloud Filestore,NFS / GlusterFS,CLOSE,File system compartido (NFS). Permite consistencia POSIX para instancias concurrentes. Diferencias en límites de throughput burstable.,Shared file system (NFS). Provides POSIX‑like semantics; limits and performance/throughput scaling differ across providers.
EKS,AKS,GKE,Kubernetes,CLOSE,"Kubernetes gestionado. Equivalencia cercana; difiere integración IAM, add-ons, networking (CNI) y operación.","Managed Kubernetes. Close equivalent; differs in integrations, add‑ons, identity/IAM model, and networking defaults."
ElastiCache,Azure Cache for Redis,Memorystore,Redis / Memcached,CLOSE,"Caché en memoria. Utiliza motores OSS. Diferencias en la gestión de clusters, replicación geográfica y persistencia gestionada.","In‑memory cache. Uses OSS engines (Redis/Memcached). Differences are mainly in management features (replication, clustering, failover) and integrations."
ElasticTranscoder,Media Services,Transcoder API,FFmpeg,CLOSE,Servicio legacy; AWS recomienda MediaConvert. FFmpeg es la base técnica OSS. Patrón cambia de API serverless a procesamiento basado en trabajos.,"Legacy service; AWS recommends MediaConvert. FFmpeg is the OSS baseline, but you must build the pipeline (queues, storage, scaling) yourself."
ELB,Azure Load Balancer (L4) / Application Gateway (L7),Cloud Load Balancing,HAProxy / Nginx / Envoy,CLOSE,ELB (clásico) cubre L4/L7 según tipo. Equivalencia por patrón; para L7 se acerca a App Gateway/HTTP(S) LB.,"Classic ELB covers L4/L7 depending on type. Equivalent by load‑balancing pattern; capabilities differ from newer LBs (rules, TLS, WAF integrations)."
ElementalLive,Media Services,Live Stream API,OBS,APPROX,Codificación de video profesional. OSS (OBS) sirve para codificación básica en un nodo; el servicio cloud escala a transcodificación masiva distribuida.,"Professional live video encoding. OSS (OBS) can cover encoding, but not the full managed workflow/integration of broadcast‑grade pipelines."
EMR,HDInsight,Dataproc,Spark / Hadoop,CLOSE,Big Data gestionado. Abstrae clusters Hadoop/Spark. Los servicios en Azure/GCP son equivalentes 1:1. OSS Spark sobre K8s requiere orquestación manual.,Managed Big Data. Abstracts Hadoop/Spark clusters. Managed services reduce ops work; OSS equivalents are Hadoop/Spark stacks you operate yourself.
EventBridge,Event Grid,Eventarc,Apache Pulsar / RabbitMQ,CLOSE,Bus de eventos serverless. La semántica de filtrado y triggers nativos varían. OSS: Pulsar permite paridad en arquitecturas desacopladas complejas.,Serverless event bus. Native filtering and trigger semantics vary by provider. OSS: Pulsar can provide parity for complex decoupled architectures.
Fargate,Container Apps,Cloud Run,Nomad,CLOSE,Cómputo serverless para contenedores. Elimina la gestión de nodos. El límite de recursos y tiempo de arranque varían entre proveedores.,Serverless compute for containers. Removes node management. Resource limits and cold‑start behavior vary across providers.
Firehose,Event Hubs Capture,Cloud Dataflow,Kafka,CLOSE,"Ingesta de streaming a destinos finales. Requiere configurar buffers, reintentos y transformaciones que cambian según el SDK y la integración.","Streaming ingestion to final destinations. Requires configuration for buffering, transforms, and schemas. OSS: Kafka Connect plays a similar role."
FSX,NetApp Files,Cloud Filestore,Lustre / OpenZFS,CLOSE,"File systems especializados (Windows, Lustre). Semántica distinta en la gestión de metadatos y backups automáticos frente a OSS.","Specialized file systems (Windows, Lustre). Semantics differ in metadata management and automated backups compared with OSS/self‑managed options."
GlobalAccelerator,Front Door,Anycast IP,Anycast (BGP) + NGINX/Envoy (aprox.),APPROX,Optimización de red vía Anycast IP (Capa 3/4). No realiza caché; optimiza la latencia del tráfico TCP/UDP mediante el backbone del proveedor.,Network optimization via Anycast IP (Layer 3/4). It does not perform content caching; OSS equivalents are non‑trivial (BGP/anycast infrastructure).
Glue,Data Factory,Cloud Data Fusion,Apache Airflow / Spark,APPROX,"ETL serverless + Catálogo. Glue combina Spark con Data Catalog. En Azure/GCP, catálogo y ETL suelen ser servicios separados con integración manual.",Serverless ETL + Catalog. Glue combines Spark execution with a Data Catalog; OSS requires Spark + a metastore/catalog (Hive/Glue‑like) and orchestration.
Grafana,Azure Managed Grafana,Managed Service for Grafana,Grafana,CLOSE,"Servicio gestionado basado en Grafana. Equivalencia cercana; difiere en integración IAM, alerting, y límites del servicio gestionado vs OSS autogestionado.","Managed service based on Grafana. Close equivalent; differences are in auth, plugin availability, scaling, and managed operations."
Greengrass,IoT Edge,IoT Core Edge,KubeEdge / EdgeX,APPROX,Extiende capacidades cloud a dispositivos locales. Diferencia semántica en runtime (Lambda vs Edge runtime). Depende de capacidad del hardware.,"Extends cloud capabilities to on‑prem/edge devices. Packaging, device management, and runtime model differ across platforms; OSS requires assembling edge runtime + orchestration."
GuardDuty,Microsoft Defender,Security Command Center,Falco / Wazuh,APPROX,Detección de amenazas inteligente. Cobertura de logs y algoritmos de anomalías varían; no hay paridad 1:1 en tipos de hallazgos.,Managed threat detection. Log coverage and detection algorithms differ; OSS requires SIEM/EDR tooling and curated detection rules.
IAM,Entra ID,Cloud IAM,Keycloak,CLOSE,"Identidad y permisos. Diferencia crítica en jerarquía: AWS es plano por cuenta; GCP usa organización/proyecto, cambiando el patrón de herencia.","Identity and permissions. Critical hierarchy difference: AWS is mostly account‑flat; GCP uses org/project, changing inheritance and policy patterns."
Inspector,Defender for Cloud,Artifact Registry vulnerability scanning + Security Command Center (aprox.),OpenVAS / Clair,APPROX,Escaneo de vulnerabilidades (hosts/containers/imágenes). En GCP se aproxima con scanning en Artifact Registry/Container Analysis + findings en SCC.,"Vulnerability scanning (hosts/containers/images). In other clouds it maps to security posture + scanning services; OSS tools (e.g., Trivy) require integration into CI/runtime."
IoT1Click,IoT Central,(sin equivalente nativo) Pub/Sub + Cloud Run/Functions + dispositivo/partner (aprox.),ThingsBoard / ChirpStack (aprox.),APPROX,Abstracción para dispositivos tipo ‘1-click’. No hay equivalente directo; se arma con IoT/mensajería + triggers/workflows.,Abstraction for “one‑click” devices. No direct equivalent; built with IoT messaging + triggers/workflows.
IoTAnalytics,Time Series Insights,BigQuery,Apache Druid,APPROX,Pipeline para datos IoT. Diferencia de patrón: requiere pre-procesamiento. Para tiempo real -> Druid; para histórico masivo -> BigQuery.,Pipeline/analytics for IoT data. Pattern differs: often requires pre‑processing/ETL + storage + analytics; OSS is typically a time‑series DB + stream processing stack.
IoTCore,IoT Hub,(IoT Core retirado) MQTT broker partner (EMQX/HiveMQ) + Pub/Sub (aprox.),Mosquitto,APPROX,Google Cloud IoT Core fue retirado (agosto 2023); en GCP se reemplaza con brokers/partners + Pub/Sub + procesamiento (Cloud Run/Functions).,Google Cloud IoT Core was retired (Aug 2023); in GCP it is replaced with partner brokers + Pub/Sub + processing (Cloud Run/Functions).
Kendra,Cognitive Search,Vertex AI Search,Elasticsearch / Solr,APPROX,Búsqueda empresarial con ML. Abstrae indexación semántica. OSS requiere configurar embeddings y modelos de lenguaje manualmente para paridad.,Enterprise search with ML. Abstracts semantic indexing. OSS requires a search engine (OpenSearch/Elasticsearch) plus vector/ML components.
Kinesis,Event Hubs,Cloud Pub/Sub,Apache Kafka,CLOSE,Streaming masivo. Patrón de retención basado en log. Kinesis usa Shards; Event Hubs Partitions. Cambia la semántica de escalado manual vs automático.,High‑throughput streaming. Log‑retention pattern. Kinesis uses shards; Event Hubs uses partitions. Scaling semantics differ (manual vs automatic).
KinesisAnalytics,Stream Analytics,Cloud Dataflow,Apache Flink,CLOSE,Análisis SQL/Java sobre streams. OSS Flink es el estándar; implementaciones cloud limitan funciones de estado para simplificar gestión.,SQL/Java analytics over streams. OSS Flink is the standard; cloud offerings may limit stateful features to simplify operations.
KinesisDataStream,Event Hubs,Cloud Pub/Sub,Kafka,CLOSE,Ingesta de baja latencia con orden garantizado. Permite múltiples consumidores independientes leyendo el mismo stream histórico.,Low‑latency ingestion with ordering. Supports multiple consumers; consumer models differ from Pub/Sub/partitions in other platforms.
KinesisVideo,Media Services,Video Intelligence,GStreamer / WebRTC,APPROX,"Streaming de video para análisis IA. Patrón optimizado para Computer Vision, no para broadcasting masivo. Requiere SDKs específicos de ingesta.",Video streaming for AI/analytics. Optimized ingestion pattern; OSS typically uses RTSP/WebRTC + storage + processing pipelines you manage.
KMS,Key Vault,Cloud KMS,HashiCorp Vault,CLOSE,Gestión de llaves. Diferencia en aislamiento hardware (FIPS 140-2 Level 2/3). Semántica distinta en rotación automática y políticas de acceso.,"Key management. Differences in hardware isolation/compliance (e.g., FIPS levels). Automatic rotation and access‑policy semantics also differ."
LakeFormation,Purview,Dataplex,Apache Atlas,APPROX,"Gobernanza de Data Lake. Capa de permisos finos sobre S3/Glue. En Azure/GCP, gobierno y seguridad están más fragmentados entre servicios distintos.",Data lake governance. Adds fine‑grained permissions over S3/Glue; other clouds use combinations of catalog + IAM + policy. OSS requires catalog + policy enforcement tooling.
Lambda,Azure Functions,Cloud Functions,OpenFaaS / Knative,CLOSE,"FaaS (Serverless). Enseña ejecución efímera. Diferencias críticas en triggers, límites de memoria/timeout y manejo de concurrencia reservada.","FaaS (serverless). Teaches ephemeral execution. Critical differences in triggers, memory/timeout limits, and reserved concurrency handling."
LambdaAtEdge,Azure Front Door + Azure Functions (aprox.),Cloud CDN + Cloud Functions/Cloud Run (aprox.),OpenFaaS / Knative (edge) + CDN (aprox.),APPROX,Ejecución de lógica en el borde (CDN). No hay 1:1 perfecto; se aproxima integrando CDN + funciones/servicios serverless cercanos al edge.,Run logic at the edge (CDN). No perfect 1:1; approximated by combining CDN + functions/serverless services close to the edge.
Lex,Bot Service,Dialogflow,Rasa,CLOSE,Motor de Chatbots (ASR/NLP). Diferencia semántica en gestión de Intents/Slots. Rasa es recomendado para privacidad total de datos de diálogo.,"Chatbot engine (ASR/NLP). Semantics differ in intent/entity management, language support, and channel integrations."
LookoutForVision,Cognitive Vision,Vertex Vision,TensorFlow,APPROX,IA para defectos industriales. Cambia de entrenamiento manual a transfer learning gestionado con pocos ejemplos (few-shot).,Industrial defect detection AI. Shifts from manual training to AutoML‑style workflows; data labeling and model lifecycle differ across platforms.
Macie,Microsoft Purview,Sensitive Data Protection,OpenDLP / Apache Tika + YARA (aprox.),APPROX,Descubrimiento de PII en S3 mediante ML. En Azure/GCP escaneo es transversal a múltiples servicios; Macie está optimizado y limitado a S3.,PII discovery in S3 using ML. In Azure/GCP you typically scan object storage with DLP services; coverage and classifiers differ.
MAM,Intune (MAM),Endpoint Management,N/A (MAM suele ser propietario),APPROX,Gestión de aplicaciones móviles. AWS no tiene servicio dedicado; usa AppConfig/Device Farm. Intune es líder funcional para políticas de contenedores.,"Mobile application management. AWS has no dedicated MAM; it relies on adjacent tools (e.g., AppConfig/Device Farm). Intune is the functional leader for policy/containerization."
MediaConnect,Media Services,Live Stream API,Zixi / RIST,APPROX,Transporte de video de alta calidad. Depende del soporte de protocolos específicos (Zixi/RIST) en puntos de ingesta de otros proveedores.,High‑quality video transport. Equivalence depends on protocol support and managed ingest/egress features; OSS requires building the transport + monitoring pipeline.
MediaConvert,Media Services,Transcoder API,FFmpeg,CLOSE,Transcodificación de video basada en archivos. Escala mediante arquitectura de jobs distribuidos. OSS FFmpeg requiere orquestación manual para paridad.,File‑based video transcoding. Scales as a managed service; OSS uses FFmpeg with job orchestration and autoscaling you manage.
MediaLive,Media Services,Live Stream API,VideoLAN / OBS,CLOSE,"Codificación en vivo. AWS separa estrictamente Live de Convert; GCP/Azure tienden a unificarlo en una sola API, simplificando el flujo.","Live encoding. AWS separates Live encoding from file conversion; provider feature sets differ (inputs, redundancy, outputs)."
MediaPackage,Media Services,Live Stream API (packaging/DRM) (aprox.),Shaka Packager (aprox.),APPROX,"Packaging/origin de streaming (HLS/DASH, DRM). Equivalencia aproximada porque el feature-set y DRM/integraciones varían.","Streaming packaging/origin (HLS/DASH, DRM). Close equivalent by streaming pattern; DRM/licensing and integration details differ."
MediaStore,Blob Storage,Cloud Storage,MinIO / Ceph RGW + CDN (aprox.),APPROX,Almacenamiento optimizado para media/streaming con baja latencia. En otros clouds se usa object storage + CDN; OSS requiere object store + CDN/caching.,Media/streaming‑optimized storage with low latency. In other clouds this is often object storage + CDN; OSS requires an object store + CDN/caching.
