architecture,name,description,category,link,tipo_arquitectura,services
mKZw29_UtoU,Miriade: Forecasting and Real Time Tracking of the Car Parking Availability Italian,"Miriade: consulting firm that deals with middleware specialized in big data, machine learning, advanced analytics
    AIM Mobilita: put together all data from parking areas to make previsions of machine learning about future state of occupancy and then make available to public in real time

    Parking lot (UserCompanyEdge) sends real time parking lot occupancy
    Data in DynamoDB that is older than 1 week is automatically deleted
    SageMaker is used to predict data in long term
    Code Commit contains Cloud Formation template that defines the entire architecture; it also contains Lambda definitions and algorithms of SageMaker

    Future plan: use QuickSight for visualization
    Strength: completely serverless (which leads to scalability)","data_ingestion,interactive",https://www.youtube.com/watch?v=mKZw29_UtoU,Edge,"['Lambda', 'Firehose', 'DynamoDB', 'ApiGateway', 'SageMaker', 'CodeCommit', 'S3', 'StepFunctions', 'UserCompanyEdge']"
hlVnmCfydIs,Traeger Provisions: Personalizing Customer Support Experiences on AWS,,"data_ingestion,interactive",https://www.youtube.com/watch?v=hlVnmCfydIs,,"['Firehose', 'Lambda', 'DynamoDB', 'ThirdParty', 'Connect', 'S3', 'Pinpoint', 'EventBridge', 'Lex', 'UserConsumerMobile']"
uWUAcc68MWI,AWS Solutions: RealTime IoT Device Monitoring with Kinesis Data Analytics,"MQQT messages from IoTCore. firehose helps in redirecting. makes it easier. its extensible. 
    The entire architecture is available in CloudFormation template, which can be deployed in 15 mins.",data_ingestion,https://www.youtube.com/watch?v=uWUAcc68MWI,Edge,"['Firehose', 'Lambda', 'DynamoDB', 'UserConsumerWeb', 'S3', 'KinesisAnalytics', 'IoTCore', 'CloudFront', 'Cognito']"
oTtPNgcZ05I,Roche: Enabling EnterpriseWide Analytics and ML with Automated Compliance,Internal Infra for data storage and analytics. It is healthcare data. So a GUI is used in between through which permissions for data access are manually approved or denied.,control,https://www.youtube.com/watch?v=oTtPNgcZ05I,,"['Athena', 'CloudFormation', 'SageMaker', 'ThirdParty', 'S3', 'RedShift', 'LakeFormation', 'ServiceCatalog', 'EKS', 'UserCompanyAnalyst']"
unFVfqj9cQ8,Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,"Digital transformation consultancy.
    It takes <20 seconds from events being generated to being visualized in Grafana.
    Care about extensibility; just plug into event bridge and add more transformation inside Lambda.",data_ingestion,https://www.youtube.com/watch?v=unFVfqj9cQ8,,"['Lambda', 'DynamoDB', 'CodePipeline', 'SystemsManager', 'ControlTower', 'Timestream', 'EventBridge', 'Grafana']"
a59halVklMI,Ashok Leyland: Running Telematics at Scale,"Manufacturer of commercial vehicles. 150,000 vehicles report data at 6 sec frequency. 350 GB of data per day and process a billion records per day. 350 GB of data each day gets stored in S3 and it is stored for 120 days.",data_ingestion,https://www.youtube.com/watch?v=a59halVklMI,,"['Athena', 'SageMaker', 'ThirdParty', 'S3', 'RedShift', 'MSK', 'RDS', 'EMR', 'VPC']"
53sUjFv9ByI,Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing Drug Discovery,"Biopharma: drug development in neurogenerative disease space, to help with things like Alzheimer
    Data Scale: hundreds of thousands of samples
    Benefit of using EKS: ease of use & auto scaling
    Benefit of using ECR: versioning enabled
    Future Plan: refine to make the workflow more stable",data_ingestion,https://www.youtube.com/watch?v=53sUjFv9ByI,HPC,"['UserCompanyDataStream', 'ThirdParty', 'EC2', 'FSX', 'ECR', 'EKS']"
H51Ups01ZpU,AT&T: Bringing IoT to the Enterprise,Connection security using TLS/X509 certificate based authentication. bundling the price for all the AWS services used - Easy cost calculations for customers. Simple and flexible. use of LTE-M to connect to the cloud.,interactive,https://www.youtube.com/watch?v=H51Ups01ZpU,Edge,"['Lambda', 'DynamoDB', 'IoT1Click', 'SNS', 'UserConsumerIOT', 'SES']"
hrhBOOrR5v0,PureWeb: Building a Global 3D Streaming Platform For Limitless Experiences,,interactive,https://www.youtube.com/watch?v=hrhBOOrR5v0,,"['Lambda', 'ApiGateway', 'UserConsumerWeb', 'Fargate', 'EC2', 'S3', 'ElastiCache']"
sKksbPPDznM,Macquarie Bank: Securing Payment Websites at the Edge Serverless-ly (LIVE),"cloud first approach
    serverless for secure access
    edge to reduce latency
    WAF and shield to protect applications and infrastructure
    HA and secured payment solution
    60 EC2 instances were replaced with this architecture
    save time and effort and also 80 percent of the cost
    Heavily simplifies PCI compliance to ensure security as the responsibility is offloaded and shared with AWS",interactive,https://www.youtube.com/watch?v=sKksbPPDznM,Edge,"['LambdaAtEdge', 'WAF', 'S3', 'ShieldAdvanced', 'UserConsumerMobile', 'CloudFront']"
PgeQufaQy7I,"MindTickle: Building a Secure, Automated, Multi-Region Architecture on AWS",video talks about scale. Lambda@Edge why useful. talks about automating geographical replication/availability (end of video). automating infrastructure (95%) and isolating data/compute due to compliance.# of microservices: 250. journey of automation/automation wins,interactive,https://www.youtube.com/watch?v=PgeQufaQy7I,Edge,"['CloudFormation', 'CloudFront', 'LambdaAtEdge', 'UserConsumerWeb', 'ALB', 'Route53', 'RDS', 'EKS']"
yPJf85tjv6M,HK01: Serverless Analytics for Clickstreams Analysis (Cantonese),"data analytics, crowdfunding etc. wanted to reduce maintainence time. why alb? api domain more versatile but use cases of company limited so cost imp.",data_ingestion,https://www.youtube.com/watch?v=yPJf85tjv6M,,"['Lambda', 'Firehose', 'Athena', 'UserConsumerWeb', 'ALB', 'ThirdParty', 'S3', 'RedShift', 'Glue']"
ameanoaMldM,Bristol-Myers Squibb: Enabling DevOps with AWS Service Catalog,Traditional stack building takes six weeks and the Service Catalog makes it possible in 15 min. Service Catalog - to enable upgrades easily,other,https://www.youtube.com/watch?v=ameanoaMldM,Edge,"['Lambda', 'CloudFormation', 'ApiGateway', 'CodePipeline', 'S3', 'Route53', 'CloudFront']"
c863uNkF0w4,ENGIE Digital: Using Spot Instances to Optimize Costs for Operations Platform for Energy Assets Fr,"supports zero-carbon transition. around 15 million messages per day. aim to reach 500 mill messages in the next 2-3 years.
    cloud formation is used to automate entire architecture. each env is made up of 70 stacks. deployed across the globe.
    parameter store used for configuration of containers. auto scaling used for cost control with spot. use fleet of different instances, 
    so if one goes down atleast one is up.
    availability?",data_ingestion,https://www.youtube.com/watch?v=c863uNkF0w4,Edge,"['CloudFormation', 'ApiGateway', 'UserConsumerEdge', 'EC2', 'S3', 'SystemsManager', 'ECS', 'UserConsumerAPI', 'Kinesis']"
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,,data_ingestion,https://www.youtube.com/watch?v=2e3vOxsHekE,Edge,"['ApiGateway', 'SageMaker', 'UserConsumerEdge', 'S3', 'ECS', 'UserCompanyAnalyst']"
DkPPwq517aE,Enimbos:Creating a Saving Costs Management Platform using Serverless Compute Engine on AWS Span ,"Help companies use cloud, offer migration services, 24/7 support
    This system allows automation of routines in cloud (for both internal devs and customers)

    Fargate manages ECS instances (and saves cost of that)
    CloudWatch alarm triggers scaling (using replicas) of RDS, such that all read requests will only be on replicas
    CloudWatch events run at 1 minute frequency

    Future plan: 1) use Aurora for auto scaling instead of RDS replicas
    2) move from MySQL based RDBMS to NonSQL (DynamoDB)","interactive,control",https://www.youtube.com/watch?v=DkPPwq517aE,Edge,"['ApiGateway', 'UserConsumerWeb', 'Fargate', 'S3', 'WAF', 'SQS', 'ECS', 'CloudWatch', 'RDS', 'CloudFront']"
bikXzsVihF4,United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,"300 Applications back up is done300 PB of dataSupport backup from different storage systems like volume backup, dynamo etc",other,https://www.youtube.com/watch?v=bikXzsVihF4,,"['CloudFormation', 'IAM', 'CloudTrail', 'ThirdParty', 'StepFunctions', 'EventBridge', 'QuickSight']"
Ly_UhX3LCCs,AWS Solutions: Simple and Secure Media Exchange on AWS,"media transfer is costly and time-taking and need to be secure.Use S3 to transfer large media files with a pub/sub model: pub side has write permission to a shared bucket, sub side has read permission. Use events and notification; both sides can develop their own workflow. Access control using AWS Identity Management (no additional credential to manage).",other,https://www.youtube.com/watch?v=Ly_UhX3LCCs,,"['SNS', 'EventBridge', 'S3', 'KMS']"
uhrheMJTV4A,Aizon: Seamlessly Integrating Data to Deliver Actionable Insights in Highly Regulated Industries,"SaaS platform to enable Pharma and Bio industry to use AI ML in compliance.
    TBs of data is generated per day.
    IOT to send data from manufacturing sites to cloud, as it facilitates in orchestrating the multiple manufacturing sites situated around the world.",data_ingestion,https://www.youtube.com/watch?v=uhrheMJTV4A,Edge,"['Lambda', 'Athena', 'DynamoDB', 'ApiGateway', 'UserConsumerWeb', 'UserCompanyDataStream', 'OpenSearch', 'S3', 'IoTCore', 'Kinesis', 'Glue']"
5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,"big data platform. they do separation of storage from compute using s3 and ec2. ec2 provides great caching capability. helps with cost savings
    and resilience. this s3 also acts as datasource for customers s3 buckets. decisions for what data stored where?
    eviction of data from caching tier if not being searched enough. customers can get their data from glacier through the ui as well.
    future? private link to send data directly.",data_ingestion,https://www.youtube.com/watch?v=5vR5aN_xdI0,,"['Lambda', 'Firehose', 'ThirdParty', 'EC2', 'S3', 'ELB', 'UserConsumerAPI']"
KQ6Fg206O9U,VietJet: Proactively Defending Your Systems from Bad Bots,"Video describes security measures to prevent DDoS attacks.
    Incoming requests are passed through a WAF. They also have additional business logic (some pattern matching) in LambdaAtAEdge.
    This provides even more safety. Athena and QuickSight provide their business analysts insights into the data.
    Based on the insights, the company analyst may add more patterns (to block) in the LambdaAtEdge to save system during attacks.
    Their booking system runs on EC2. It is not shown how it connects with the other components. One can assume that accepted requests
    eventually land there.",data_ingestion,https://www.youtube.com/watch?v=KQ6Fg206O9U,Edge,"['Firehose', 'Athena', 'Lambda', 'LambdaAtEdge', 'UserConsumerWeb', 'EC2', 'WAF', 'S3', 'QuickSight', 'CloudFront']"
4zVB5RbSTCo,Electroneum: Mobile Cryptocurrency Mining!,Cryptocurrency mining. Care about security and traffic filtering a lot!,data_ingestion,https://www.youtube.com/watch?v=4zVB5RbSTCo,,"['Athena', 'Lambda', 'ApiGateway', 'DynamoDB', 'EC2', 'WAF', 'UserConsumerMobile', 'DataPipeline', 'RDS']"
uNAmsoLed1E,Bajaj Housing Finance Limited: Serverless Data Pipelines with AWS Glue and Amazon Aurora PGSQL,"Mortgages company. Extract transform and serve layers. KMS and S3 server side encryption to protect sensitive data. Processed data is stored to S3 and Aurora Postgres. Aurora postgres acts as datamart and s3 as datalake. Glue as it is serverless and fully managed. Aurora Postgres chosen keeping its cost and performance in mind/ Future plans of doing predictive analytics using sage maker. Also plans of using quicksight (once available in Mumbai, India) as Tableau is costly, and step functions to automate the workflow (currently Lambda is used).",data_ingestion,https://www.youtube.com/watch?v=uNAmsoLed1E,,"['Lambda', 'DMS', 'UserCompanyDataStream', 'EC2', 'S3', 'Aurora', 'KMS', 'RDS', 'Glue']"
q_5U7z_vNug,"Flutura: Digital Twin - Shaping Operations for Maximizing Yield, Reliability and Net-Zero Goals",EMR to run Spark and HBase and because of scalable architecture for independently scaling compute and storage. Billion records per day. 50k rules evaluation in a minute.,data_ingestion,https://www.youtube.com/watch?v=q_5U7z_vNug,Edge,"['Lambda', 'UserConsumerEdge', 'ThirdParty', 'EC2', 'S3', 'MSK', 'EMR', 'UserCompanyAnalyst']"
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,"cost and data rich video. snapdb instead of using dynamodb directly.
    300M daily active users.
    900 clusters of EKS, each has 1000+ instances.
    Reduce p50 latency of sending a snap by 24%.",interactive,https://www.youtube.com/watch?v=Cgv0kfp_6xQ,Edge,"['EKS', 'DynamoDB', 'S3', 'ElastiCache', 'UserConsumerMobile', 'CloudFront']"
rRvy5Fbei1s,Dentsu Tracking: Using Serverless to Power an EU Government Supply-Chain Control System,"usecase: tobacco tracking in EU: 150 billion packs stored for 5 years.. 6000 calls per second.. 200k records -> need to be validated by single lambda. heavy parellelism. It is interesting that the data seems to be stored both S3 and DynamoDB; it also uses a hybrid of EC2 and Lambda. using EC2 in the middle because they test and find this step requires massive computing, and EC2 is more cost-efficient",data_ingestion,https://www.youtube.com/watch?v=rRvy5Fbei1s,,"['Lambda', 'ApiGateway', 'DynamoDB', 'EC2', 'S3', 'SQS', 'RedShift', 'QuickSight', 'DataPipeline', 'UserConsumerAPI']"
Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,"fitness studio providing coach led classes. OTLive is the digital product. virtual classes. rely on chime sdk for 
    video experience between coach and member. during call, heart rate monitors used, data collected every second.
     how is low latency ensured? from chime. data stored both in S3 and dynamoDB. future? more scale, video-on-demand.",interactive,https://www.youtube.com/watch?v=Eoq7E6jMtBs,,"['Lambda', 'DynamoDB', 'ApiGateway', 'S3', 'UserConsumerMobile', 'Chime', 'Kinesis', 'Cognito', 'Aurora']"
ZNt9qI_LlPk,Autodesk Data Platform: Product Usage RealTime Analytics Using an Event Driven Architecture,13TB of peak data to S3 daily. Data is available quickly to end users with reduced cost. Use of DynamoDB to store metadata has increased throughput.,data_ingestion,https://www.youtube.com/watch?v=ZNt9qI_LlPk,,"['Lambda', 'DynamoDB', 'SNS', 'S3', 'ECS']"
O11BgSm7V14,HeyJobs: Moving to a Serverless Data Platform to Process and Enrich Over 3 Million Records a Day,"3M records a day. Pull data from 3rd party APIs using Cron jobs on EventBridge.
Cost savings: 30%. ECS containers duplicate and pull the data from Aurora.",data_ingestion,https://www.youtube.com/watch?v=O11BgSm7V14,,"['Lambda', 'SageMaker', 'UserConsumerWeb', 'SNS', 'SQS', 'EventBridge', 'ECS', 'Aurora']"
9-a9Y5THTYo,Vitesco Technologies Cloud Foundation: A Scalable and Automated Cloud Landing Zone,"Manufacturer of owertrain technology for sustainable mobility
    IT challenge: 50 locations, 1000+ servers, 300 databases, 300+ app in 2 years
    System allows internal users to create AWS accounts directly and very fast while satisfying standard
    The system has already created 850 accounts
    AWS Control Tower is used to first create the actual account
    The email sent by SES contains how to access & use the account, and owner's responsibility
    Each change in configuration reaches customer account in less than 3 hours through code pieline (applied to Dev account first, then QA accounts, and finally Prod accounts)",control,https://www.youtube.com/watch?v=9-a9Y5THTYo,,"['DynamoDB', 'ApiGateway', 'UserConsumerWeb', 'StepFunctions', 'ControlTower', 'SES']"
YiOTd6IfGoU,Go Global: Processing Tens of Different Event Types on a Generic Data Lake Architecture (Hebrew),service for tourism industry. 230k hotels and apts over the world. 200 countries! 40 million searches everyday. 20 million events in firehose. they split based on datatypes.consumers R&D use elasticsearch. quicksight as well used. athena too. athena used by devs to create new data types/events.,data_ingestion,https://www.youtube.com/watch?v=YiOTd6IfGoU,,"['Firehose', 'Athena', 'Lambda', 'UserCompanyDataStream', 'ThirdParty', 'OpenSearch', 'S3', 'StepFunctions', 'QuickSight', 'RedShift', 'CloudWatch']"
OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,"Before the migration, there were 81k ways for a customer to interact with the system.
    To reduce this complexity, combination of SaaSConnect and Lex is used to simply the interactions down to 200 ways.
    DevTools also make use of TerraForm (Infrastructure as Code) to handle changes and migration.
    Agents_2 are Team Leads.
    System handles 1m phone calls per month.
    Connect Data is pumped out to a SnowFlake data warehouse. This is accessible via a dashboard.",interactive,https://www.youtube.com/watch?v=OQKOHNtyz3E,,"['Lambda', 'DynamoDB', 'ThirdParty', 'Connect', 'DevTools', 'Lex', 'UserConsumerMobile', 'UserCompanyAgent', 'UserCompanyDeveloper']"
Ozbv9qBsDG8,Clumio: Enterprise Backup as a Service with an AlwaysOn Security Model,"Note the graph for this was hard to parse as some services were mentioned but not drawn, so had to do some guesswork.
    Clumio provides a landscape description of data protection situation of your AWS account.
    Optionally it also allows you to create backups of your data.
    Provide a Cloud Formation Template to the customer: installs event bridge and IAM roles.
    Clumio creates a dedicated AWS account on behalf of the customer. This is where backup is going to reside.
    Supported data sources for backup: EBS, RDS, DyanmoDB
    Generates reports: compliance, audit, cost, data protection etc.
    Protection against: regional outages, randomware attacks, account compromises.
    KMS is used to encrypt any data being moved.
    S3 scalability is great -- so they take advantage of it by having customer data move to S3 directly.
    EBS, IAM_1, EventBridge -- are in user's account. Rest others are in a separate AWS account created by Clumio on behalf of the user.
    EBS in user's account is one example of data source. Others include RDS, DynamoDB.
    After backup, Clumio also performs postprocessing -- verification, cataloguing, indexing, etc.",other,https://www.youtube.com/watch?v=Ozbv9qBsDG8,,"['Lambda', 'IAM', 'ThirdParty', 'S3', 'SQS', 'EventBridge', 'EBS', 'KMS']"
JcHSFIZMYHc,CleverTap: Building a Fully Version Controlled Infrastructure as Code on AWS,scale: 10B data points. includes a manual verification not shown in video. mentions benefits of automation: documenting infra changes for infra. no one has write access to AWS.  this helps with bringing up isolated environments for compliance reasons.,control,https://www.youtube.com/watch?v=JcHSFIZMYHc,,"['Lambda', 'CloudFormation', 'ApiGateway', 'CodeBuild', 'CodePipeline', 'ThirdParty', 'S3']"
U1P8vZTEB-k,GSR: A Crypto Market Maker and Ecosystem Partner,"global trading firm for cryptocurrencies. 45 exchanges around the world. need fast and secure. 
    kubernetes cllusters on top of ec2 instances. helps connectivity and availability. 
    direct connect which arent AWS linked instead of private link. store millions of market traits in the db.
     aurora allows scale and replication. elasticache for key value data. use efs to store tera bytes of market data on 
     daily basis. S3 >> EFS at simulations. higher throughput. EFS cannot sustain throughput.","compute_intensive,control",https://www.youtube.com/watch?v=U1P8vZTEB-k,HPC,"['DirectConnect', 'PrivateLink', 'Batch', 'ThirdParty', 'EC2', 'ElastiCache', 'S3', 'UserCompanyAnalyst', 'UserConsumerAPI', 'EFS', 'UserCompanyDeveloper', 'Aurora']"
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),"Manage SAP. Created a healing framework for SAP with outsourced monitor services (following AWS best practices).
    Outsourced monitoring has a benefit that if the instance fails with its local monitor, such failure can still be detected.",control,https://www.youtube.com/watch?v=CsD5bmM6mpY,,"['Lambda', 'SNS', 'EC2', 'SystemsManager', 'CloudWatch', 'SAP']"
